clarity,carat_weight,cut_quality,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,total_sales_price
78,0.09,1,0,0,62.7,59,2.85,2.87,1.79,200
78,0.09,0,0,0,61.9,59,2.84,2.89,1.78,200
78,0.09,1,0,0,61.1,59,2.88,2.9,1.77,200
78,0.09,1,0,0,62,59,2.86,2.88,1.78,200
78,0.09,0,0,1,64.9,58.5,2.79,2.83,1.82,200
78,0.09,0,0,0,60.8,57,2.95,2.99,1.81,200
78,0.09,0,0,0,64,57,2.85,2.88,1.84,200
78,0.09,1,0,0,62.1,59.5,2.86,2.89,1.78,200
78,0.09,0,0,0,63.5,59.5,2.89,2.92,1.85,200
78,0.09,1,0,0,63.2,57,2.83,2.87,1.8,200
78,0.09,0,0,0,62.2,58.5,2.82,2.85,1.77,200
78,0.09,1,0,0,62.1,59.5,2.83,2.86,1.77,200
78,0.09,0,0,0,61.8,58.5,2.85,2.89,1.77,200
89,0.09,1,0,0,62,57.5,2.83,2.87,1.77,200
78,0.09,0,1,0,63.6,58,2.81,2.84,1.79,200
78,0.09,0,0,0,61.8,58,2.88,2.9,1.78,200
78,0.09,0,0,0,62.3,55.5,2.88,2.91,1.8,200
78,0.09,0,0,0,61.2,60,2.92,2.94,1.79,200
78,0.09,1,0,0,61,60,2.91,2.92,1.78,200
78,0.09,0,0,0,64.8,60,2.81,2.83,1.83,200
78,0.09,0,0,0,61.1,58.5,2.87,2.88,1.76,200
89,0.09,0,0,0,61.4,59,2.83,2.85,1.74,200
78,0.09,0,0,0,63.1,62.5,2.8,2.81,1.77,200
89,0.08,1,1,1,60.2,59.5,2.78,2.8,1.68,202
23,0.34,1,1,1,0,0,0,0,0,204
89,0.09,1,0,0,0,0,0,0,0,204
89,0.09,0,0,0,0,0,0,0,0,204
89,0.09,1,0,0,63,59.5,2.81,2.83,1.78,204
89,0.09,0,0,0,63.1,58,2.85,2.88,1.81,204
89,0.09,1,0,0,60,60,2.87,2.9,1.73,204
89,0.09,0,0,0,60.3,61.5,2.84,2.88,1.72,204
89,0.09,0,0,0,63.5,57.5,2.81,2.82,1.79,204
89,0.09,0,0,1,61.1,65,2.83,2.87,1.74,204
78,0.09,0,0,0,64.4,58.5,2.8,2.82,1.81,208
23,0.3,0,0,0,0.6,0.55,4.3,4.32,2.6,212
89,0.09,0,0,0,61.5,60,2.85,2.9,1.77,212
78,0.1,0,0,0,60.9,59.5,2.97,2.98,1.81,212
78,0.1,0,0,0,60.9,58,3.06,3.08,1.87,212
67,0.1,0,0,0,62.2,57,2.88,2.91,1.81,214
56,0.09,1,0,1,62.2,57,2.86,2.9,1.79,214
56,0.1,1,0,0,62.7,58,2.99,3,1.87,216
89,0.1,0,0,0,63.4,60.5,2.83,2.86,1.8,218
78,0.11,0,0,0,61.7,64,3.01,3.08,1.88,220
23,0.35,1,1,1,0.5,0.6,4.59,4.6,2.73,220
67,0.11,1,0,1,0,0,0,0,0,222
67,0.11,1,0,0,0,0,0,0,0,222
67,0.11,1,0,0,0,0,0,0,0,222
