clarity,carat_weight,cut_quality,lab,symmetry,polish,depth_percent,table_percent,meas_length,meas_width,meas_depth,total_sales_price
1,0.09,1,0,0,0,62.7,59,2.85,2.87,1.79,200
1,0.09,0,0,0,0,61.9,59,2.84,2.89,1.78,200
1,0.09,1,0,0,0,61.1,59,2.88,2.9,1.77,200
1,0.09,1,0,0,0,62,59,2.86,2.88,1.78,200
1,0.09,0,0,0,1,64.9,58.5,2.79,2.83,1.82,200
1,0.09,0,0,0,0,60.8,57,2.95,2.99,1.81,200
1,0.09,0,0,0,0,64,57,2.85,2.88,1.84,200
1,0.09,1,0,0,0,62.1,59.5,2.86,2.89,1.78,200
1,0.09,0,0,0,0,63.5,59.5,2.89,2.92,1.85,200
1,0.09,1,0,0,0,63.2,57,2.83,2.87,1.8,200
1,0.09,0,0,0,0,62.2,58.5,2.82,2.85,1.77,200
1,0.09,1,0,0,0,62.1,59.5,2.83,2.86,1.77,200
1,0.09,0,0,0,0,61.8,58.5,2.85,2.89,1.77,200
1,0.09,1,0,0,0,62,57.5,2.83,2.87,1.77,200
1,0.09,0,0,1,0,63.6,58,2.81,2.84,1.79,200
1,0.09,0,0,0,0,61.8,58,2.88,2.9,1.78,200
1,0.09,0,0,0,0,62.3,55.5,2.88,2.91,1.8,200
1,0.09,0,0,0,0,61.2,60,2.92,2.94,1.79,200
1,0.09,1,0,0,0,61,60,2.91,2.92,1.78,200
1,0.09,0,0,0,0,64.8,60,2.81,2.83,1.83,200
1,0.09,0,0,0,0,61.1,58.5,2.87,2.88,1.76,200
1,0.09,0,0,0,0,61.4,59,2.83,2.85,1.74,200
1,0.09,0,0,0,0,63.1,62.5,2.8,2.81,1.77,200
1,0.08,1,0,1,1,60.2,59.5,2.78,2.8,1.68,202
0,0.34,1,0,1,1,0,0,0,0,0,204
1,0.09,1,0,0,0,0,0,0,0,0,204
1,0.09,0,0,0,0,0,0,0,0,0,204
1,0.09,1,0,0,0,63,59.5,2.81,2.83,1.78,204
1,0.09,0,0,0,0,63.1,58,2.85,2.88,1.81,204
1,0.09,1,0,0,0,60,60,2.87,2.9,1.73,204
1,0.09,0,0,0,0,60.3,61.5,2.84,2.88,1.72,204
1,0.09,0,0,0,0,63.5,57.5,2.81,2.82,1.79,204
1,0.09,0,0,0,1,61.1,65,2.83,2.87,1.74,204
1,0.09,0,0,0,0,64.4,58.5,2.8,2.82,1.81,208
0,0.3,0,0,0,0,0.6,0.55,4.3,4.32,2.6,212
1,0.09,0,0,0,0,61.5,60,2.85,2.9,1.77,212
1,0.1,0,0,0,0,60.9,59.5,2.97,2.98,1.81,212
1,0.1,0,0,0,0,60.9,58,3.06,3.08,1.87,212
1,0.1,0,0,0,0,62.2,57,2.88,2.91,1.81,214
1,0.09,1,0,0,1,62.2,57,2.86,2.9,1.79,214
1,0.1,1,0,0,0,62.7,58,2.99,3,1.87,216
1,0.1,0,0,0,0,63.4,60.5,2.83,2.86,1.8,218
1,0.11,0,0,0,0,61.7,64,3.01,3.08,1.88,220
0,0.35,1,0,1,1,0.5,0.6,4.59,4.6,2.73,220
1,0.11,1,0,0,1,0,0,0,0,0,222
1,0.11,1,0,0,0,0,0,0,0,0,222
1,0.11,1,0,0,0,0,0,0,0,0,222
1,0.11,1,0,0,1,0,0,0,0,0,222
1,0.11,1,0,0,1,0,0,0,0,0,222
1,0.11,0,0,0,0,0,0,0,0,0,222
1,0.1,0,0,0,0,0,0,0,0,0,226
1,0.1,0,0,0,0,0,0,0,0,0,228
1,0.1,1,0,0,0,0,0,0,0,0,228
1,0.1,0,0,0,0,0,0,0,0,0,228
1,0.09,1,0,0,1,61.4,58,2.9,2.93,1.79,228
1,0.09,1,0,0,1,62,56,2.88,2.9,1.79,228
1,0.11,0,0,0,0,0,0,0,0,0,230
1,0.11,1,0,0,0,0,0,0,0,0,230
1,0.11,1,0,0,0,0,0,0,0,0,230
1,0.09,1,0,0,0,60.3,60.5,2.91,2.92,1.76,230
1,0.09,0,0,0,0,60.9,66,2.83,2.85,1.73,230
1,0.09,1,0,1,0,63.3,56.5,2.83,2.85,1.79,232
1,0.09,1,0,1,1,61.3,57.5,2.88,2.94,1.78,232
1,0.09,1,0,1,1,60.4,59.5,2.87,2.9,1.74,232
1,0.09,1,0,1,1,61.6,57.5,2.87,2.88,1.77,232
1,0.1,1,0,0,0,59.7,60,3.06,3.08,1.83,236
0,0.3,1,0,1,1,62.2,60.5,4.26,4.29,2.66,240
0,0.3,0,0,1,1,0,0,0,0,0,240
1,0.13,1,0,0,1,0,0,0,0,0,240
0,0.34,1,1,1,0,62.2,57,4.45,4.48,2.78,242
1,0.11,0,0,0,0,61.2,60,3.1,3.14,1.91,244
1,0.11,0,0,0,0,62,61.5,3.06,3.11,1.92,244
1,0.17,1,1,0,0,61.2,57,3.61,3.63,2.22,246
1,0.11,0,0,0,1,62.4,61,3.08,3.1,1.93,246
1,0.11,1,0,0,0,60.5,60.5,3.14,3.17,1.91,246
1,0.31,1,0,1,1,59.9,60.5,4.38,4.4,2.63,246
0,0.3,1,1,1,0,62.2,56,4.28,4.3,2.67,250
0,0.3,1,0,1,1,0.6,0.63,4.28,4.33,2.6,252
0,0.3,1,0,1,1,0.6,0.57,4.3,4.34,2.65,252
1,0.12,1,0,0,0,60.7,58,3.26,3.28,1.99,256
0,0.31,1,0,1,1,0.6,0.57,4.32,4.34,2.67,256
0,0.3,0,0,0,1,0.6,0.57,4.19,4.23,2.65,258
1,0.12,1,0,0,0,60.4,56.5,3.25,3.26,1.97,260
1,0.11,0,0,0,0,60.4,59,3.08,3.09,1.86,260
0,0.31,1,0,0,0,0,0,4.21,4.24,2.75,262
1,0.12,0,0,0,0,58.1,62,3.31,3.35,1.93,262
1,0.12,0,0,0,0,59.6,61.5,3.17,3.19,1.9,262
0,0.12,0,0,0,0,62,59,3.15,3.16,1.96,262
1,0.12,0,0,0,0,61.5,58.5,3.19,3.2,1.97,262
0,0.3,0,1,0,1,64,57,4.16,4.2,2.68,264
0,0.31,1,1,1,1,61.7,59,4.34,4.37,2.69,264
1,0.13,1,0,0,1,0,0,0,0,0,266
1,0.12,0,0,0,0,63.8,57.5,3.12,3.17,2.01,266
0,0.31,1,0,0,0,61.4,59.5,4.32,4.33,2.66,266
0,0.31,1,1,1,1,61.9,58,4.33,4.35,2.69,268
1,0.12,0,0,0,0,61.7,58,3.1,3.12,1.92,268
0,0.32,1,1,1,1,62.1,58,4.38,4.4,2.73,270
1,0.13,0,0,0,0,58.4,64,3.37,3.41,1.98,270
